id,is_flawed,known_errors,topic,target_concept,question,response_options,expected_revision_question,expected_revision_response_options,revision_notes,difficulty,item_format,source_seed_id,benchmark_version,v3_cleanup_replacement,v3_cleanup_reason
gold-200-rewritten-109,True,open_closed_mismatch,work,description of remote-work challenges,"In your own words, describe the biggest challenge you face when working remotely.","[""Communication"", ""Technology"", ""Space at home"", ""Motivation""]",What is the biggest challenge you face when working remotely?,"[""Communication with colleagues"", ""Technology or internet access"", ""Lack of suitable space at home"", ""Motivation or focus"", ""Care responsibilities"", ""Other"", ""Not applicable""]","[""Either ask open-ended with no options or use a closed-ended wording.""]",obvious,open_ended,candidate-v1-single-open-closed-mismatch-005,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-110,True,open_closed_mismatch,technology,preferred app privacy improvement,Which privacy improvement would you most like app developers to make? Please explain.,[],Which privacy improvement would you most like app developers to make?,"[""Clearer permission requests"", ""Easier deletion of data"", ""Less third-party sharing"", ""More control over notifications"", ""Other""]","[""The revised item uses closed options because the request is for a single preferred category.""]",realistic,open_ended,candidate-v1-single-open-closed-mismatch-007,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-111,True,open_closed_mismatch,environment,open explanation of energy-saving barriers,Please explain why your household does not reduce energy use more.,"[""Too expensive"", ""Rented home"", ""Already saving energy"", ""Other""]",What is the main reason your household does not reduce energy use more?,"[""Cost of changes"", ""Rental or building restrictions"", ""Lack of information"", ""Already saving as much as possible"", ""Other"", ""Not applicable""]","[""Use a closed-ended request that matches the provided categories.""]",borderline,open_ended,candidate-v1-single-open-closed-mismatch-006,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-112,True,open_closed_mismatch,media/culture,reason for not attending cultural events,Why do you not attend local cultural events more often? Write your answer below.,"[""Too expensive"", ""No time"", ""Not interested"", ""Other""]",What is the main reason you do not attend local cultural events more often?,"[""Too expensive"", ""Lack of time"", ""Events are hard to reach"", ""Not interested"", ""Do not know about events"", ""Other"", ""Not applicable""]","[""Match the question to the closed response format.""]",obvious,open_ended,candidate-v1-single-open-closed-mismatch-014,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-113,True,agree_disagree_scale,politics/public policy,support for citizen assemblies,Please indicate how much you agree or disagree that citizen assemblies should be used before major local policy decisions.,"[""Strongly disagree"", ""Somewhat disagree"", ""Neither agree nor disagree"", ""Somewhat agree"", ""Strongly agree""]",To what extent do you support or oppose using citizen assemblies before major local policy decisions?,"[""Strongly oppose"", ""Somewhat oppose"", ""Neither support nor oppose"", ""Somewhat support"", ""Strongly support""]","[""Use an item-specific support-oppose scale instead of agree-disagree wording.""]",realistic,likert_agreement,candidate-v1-single-agree-disagree-scale-001,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-114,True,agree_disagree_scale,public services,importance of transparent appointment waiting lists,Please indicate whether you agree that transparent waiting lists for specialist appointments are important.,"[""Strongly disagree"", ""Somewhat disagree"", ""Neither agree nor disagree"", ""Somewhat agree"", ""Strongly agree""]",How important or unimportant is it to you that waiting lists for specialist appointments are transparent?,"[""Very unimportant"", ""Somewhat unimportant"", ""Neither important nor unimportant"", ""Somewhat important"", ""Very important""]","[""Ask directly about importance rather than agreement with a statement.""]",borderline,likert_agreement,candidate-v1-single-agree-disagree-scale-003,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-115,True,agree_disagree_scale,environment,concern about drinking-water quality,Do you agree or disagree that drinking-water quality in your area is concerning?,"[""Strongly disagree"", ""Somewhat disagree"", ""Neither agree nor disagree"", ""Somewhat agree"", ""Strongly agree""]",How concerned are you about drinking-water quality in your area?,"[""Not at all concerned"", ""Slightly concerned"", ""Moderately concerned"", ""Very concerned"", ""Extremely concerned""]","[""Use a concern scale that matches the construct.""]",obvious,likert_agreement,candidate-v1-single-agree-disagree-scale-013,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-116,True,agree_disagree_scale,work,satisfaction with workload predictability,How strongly do you agree that your workload is predictable?,"[""Strongly disagree"", ""Somewhat disagree"", ""Neither agree nor disagree"", ""Somewhat agree"", ""Strongly agree""]",How predictable or unpredictable is your workload from week to week?,"[""Very unpredictable"", ""Somewhat unpredictable"", ""Neither predictable nor unpredictable"", ""Somewhat predictable"", ""Very predictable""]","[""Replace the agree-disagree item with a direct predictability scale.""]",realistic,likert_agreement,candidate-v1-single-agree-disagree-scale-007,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-117,True,agree_disagree_scale,public services,trust in automated decision systems,Please indicate whether you agree or disagree that automated decision systems used by public offices can be trusted.,"[""Strongly disagree"", ""Somewhat disagree"", ""Neither agree nor disagree"", ""Somewhat agree"", ""Strongly agree""]",How much do you trust or distrust automated decision systems used by public offices?,"[""Strongly distrust"", ""Somewhat distrust"", ""Neither trust nor distrust"", ""Somewhat trust"", ""Strongly trust""]","[""Use a trust-distrust response scale instead of agreement.""]",borderline,likert_agreement,candidate-v1-single-agree-disagree-scale-011,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-118,True,agree_disagree_scale,university life,satisfaction with course registration,Please state your level of agreement or disagreement with the statement: course registration works well.,"[""Strongly disagree"", ""Somewhat disagree"", ""Neither agree nor disagree"", ""Somewhat agree"", ""Strongly agree""]",How satisfied or dissatisfied are you with the course registration process?,"[""Very dissatisfied"", ""Somewhat dissatisfied"", ""Neither satisfied nor dissatisfied"", ""Somewhat satisfied"", ""Very satisfied""]","[""Ask directly about satisfaction with the process.""]",obvious,likert_agreement,candidate-v1-single-agree-disagree-scale-021,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-119,True,agree_disagree_scale,family/household,fairness of household task division,Do you agree that household tasks are divided fairly in your household?,"[""Strongly disagree"", ""Somewhat disagree"", ""Neither agree nor disagree"", ""Somewhat agree"", ""Strongly agree""]",How fair or unfair is the division of household tasks in your household?,"[""Very unfair"", ""Somewhat unfair"", ""Neither fair nor unfair"", ""Somewhat fair"", ""Very fair"", ""Not applicable""]","[""Use a fair-unfair scale suited to the construct.""]",realistic,likert_agreement,candidate-v1-single-agree-disagree-scale-017,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-120,True,agree_disagree_scale,media/culture,reliability of local event information,Please indicate your agreement with the statement: public broadcasters provide reliable information about local events.,"[""Strongly disagree"", ""Somewhat disagree"", ""Neither agree nor disagree"", ""Somewhat agree"", ""Strongly agree""]",How reliable or unreliable do you find information about local events from public broadcasters?,"[""Very unreliable"", ""Somewhat unreliable"", ""Neither reliable nor unreliable"", ""Somewhat reliable"", ""Very reliable""]","[""Use a reliability scale instead of agreement with a translated statement.""]",borderline,likert_agreement,candidate-v1-single-agree-disagree-scale-019,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-121,True,unbalanced_scale,education,support for smaller class sizes,Would you favor reducing class sizes in public schools?,"[""Strongly favor"", ""Favor"", ""Somewhat favor"", ""Neutral"", ""Oppose""]",To what extent do you support or oppose reducing class sizes in public schools?,"[""Strongly oppose"", ""Somewhat oppose"", ""Neither support nor oppose"", ""Somewhat support"", ""Strongly support""]","[""Represent support and opposition symmetrically.""]",obvious,support_oppose,candidate-v1-single-unbalanced-scale-005,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-122,True,unbalanced_scale,politics/public policy,support for low-emission zones,What is your opinion of introducing low-emission zones in city centers?,"[""Excellent idea"", ""Good idea"", ""Somewhat good idea"", ""Neither good nor bad"", ""Bad idea""]",To what extent do you support or oppose introducing low-emission zones in city centers?,"[""Strongly oppose"", ""Somewhat oppose"", ""Neither support nor oppose"", ""Somewhat support"", ""Strongly support""]","[""Balance positive and negative answer categories.""]",realistic,support_oppose,candidate-v1-single-unbalanced-scale-013,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-123,True,unbalanced_scale,health,support for expanding evening clinic hours,What level of support do you have for expanding evening clinic hours at public clinics?,"[""Support completely"", ""Support strongly"", ""Support somewhat"", ""Neutral"", ""Do not support""]",To what extent do you support or oppose expanding evening clinic hours at public clinics?,"[""Strongly oppose"", ""Somewhat oppose"", ""Neither support nor oppose"", ""Somewhat support"", ""Strongly support""]","[""Provide parallel degrees of opposition as well as support.""]",borderline,support_oppose,candidate-v1-single-unbalanced-scale-003,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-124,True,unbalanced_scale,mobility,support for facial recognition in public transport stations,How acceptable is the use of facial recognition in public transport stations?,"[""Completely acceptable"", ""Mostly acceptable"", ""Somewhat acceptable"", ""Neither acceptable nor unacceptable"", ""Unacceptable""]",How acceptable or unacceptable is the use of facial recognition in public transport stations?,"[""Very unacceptable"", ""Somewhat unacceptable"", ""Neither acceptable nor unacceptable"", ""Somewhat acceptable"", ""Very acceptable""]","[""Use balanced acceptability options on both sides.""]",obvious,ordinal_categories,candidate-v1-single-unbalanced-scale-011,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-125,True,unbalanced_scale,public services,support for appointment-only service offices,Would you support service offices moving to appointment-only visits?,"[""Strongly support"", ""Support"", ""Somewhat support"", ""Neither"", ""Oppose""]",To what extent do you support or oppose service offices moving to appointment-only visits?,"[""Strongly oppose"", ""Somewhat oppose"", ""Neither support nor oppose"", ""Somewhat support"", ""Strongly support""]","[""Balance the number and strength of pro and con options.""]",realistic,support_oppose,candidate-v1-single-unbalanced-scale-023,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-126,True,unbalanced_scale,mobility,support for reducing car parking near train stations,What do you think about reducing car parking near train stations?,"[""Very positive"", ""Positive"", ""Somewhat positive"", ""Neutral"", ""Negative""]",To what extent do you support or oppose reducing car parking near train stations?,"[""Strongly oppose"", ""Somewhat oppose"", ""Neither support nor oppose"", ""Somewhat support"", ""Strongly support""]","[""Avoid a scale with three positive levels and only one negative level.""]",borderline,support_oppose,candidate-v1-single-unbalanced-scale-015,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-127,True,unbalanced_scale,labor,support for mandatory recording of working time,How favorable are you toward mandatory recording of working time?,"[""Very favorable"", ""Favorable"", ""Slightly favorable"", ""Neutral"", ""Against""]",To what extent do you support or oppose mandatory recording of working time?,"[""Strongly oppose"", ""Somewhat oppose"", ""Neither support nor oppose"", ""Somewhat support"", ""Strongly support""]","[""Use symmetric support and opposition categories.""]",obvious,support_oppose,candidate-v1-single-unbalanced-scale-007,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-128,True,unbalanced_scale,politics/public policy,support for public release of council attendance records,How good would it be to publish council members’ attendance records?,"[""Very good"", ""Good"", ""Somewhat good"", ""Neither good nor bad"", ""Bad""]",To what extent do you support or oppose publishing council members’ attendance records?,"[""Strongly oppose"", ""Somewhat oppose"", ""Neither support nor oppose"", ""Somewhat support"", ""Strongly support""]","[""Balance favorable and unfavorable categories.""]",realistic,support_oppose,candidate-v1-single-unbalanced-scale-001,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-129,True,incomplete_options,family/household,respondent age group,Which age group includes your current age?,"[""18-24"", ""25-34"", ""35-44"", ""45-54""]",Which age group includes your current age?,"[""Under 18"", ""18-24"", ""25-34"", ""35-44"", ""45-54"", ""55-64"", ""65 or older"", ""Prefer not to say""]","[""Add omitted younger, older, and nonresponse categories.""]",borderline,categorical_closed_ended,candidate-v1-single-incomplete-options-001,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-130,True,incomplete_options,education,highest completed education,What is the highest level of education you have completed?,"[""No formal qualification"", ""Lower secondary"", ""Upper secondary"", ""Bachelor’s degree""]",What is the highest level of education you have completed?,"[""No formal qualification"", ""Lower secondary"", ""Upper secondary"", ""Vocational training"", ""Bachelor’s degree"", ""Master’s degree or higher"", ""Other"", ""Prefer not to say""]","[""Include missing educational pathways and residual options.""]",obvious,categorical_closed_ended,candidate-v1-single-incomplete-options-002,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-131,True,incomplete_options,mobility,usual transport mode,Which mode of transport do you usually use for commuting?,"[""Car"", ""Public transport""]",Which mode of transport do you usually use for commuting?,"[""Walking"", ""Bicycle"", ""Public transport"", ""Car as driver"", ""Car as passenger"", ""Motorcycle or scooter"", ""Work or study from home"", ""Other""]","[""Add common commuting modes and not-in-commute situations.""]",realistic,categorical_closed_ended,candidate-v1-single-incomplete-options-003,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-132,True,incomplete_options,labor,employment status,Which of the following best describes your current employment status?,"[""Full-time employed"", ""Part-time employed"", ""Unemployed""]",Which of the following best describes your current employment status?,"[""Full-time employed"", ""Part-time employed"", ""Self-employed"", ""Unemployed and seeking work"", ""Student"", ""Retired"", ""Unable to work"", ""Other"", ""Prefer not to say""]","[""Cover plausible statuses beyond employment/unemployment.""]",borderline,categorical_closed_ended,candidate-v1-single-incomplete-options-004,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-133,True,incomplete_options,health,type of health insurance,What type of health insurance do you currently have?,"[""Public insurance"", ""Private insurance""]",What type of health insurance do you currently have?,"[""Public insurance"", ""Private insurance"", ""Both public and private coverage"", ""No health insurance"", ""Not sure"", ""Prefer not to say""]","[""Add uninsured, mixed, and uncertainty categories.""]",obvious,categorical_closed_ended,candidate-v1-single-incomplete-options-008,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-134,True,incomplete_options,education,main device used for online learning,Which device do you use most often for online learning?,"[""Laptop"", ""Tablet""]",Which device do you use most often for online learning?,"[""Desktop computer"", ""Laptop"", ""Tablet"", ""Smartphone"", ""Shared public device"", ""I do not use online learning"", ""Other""]","[""Include common device categories and not-applicable.""]",realistic,categorical_closed_ended,candidate-v1-single-incomplete-options-010,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-135,True,incomplete_options,finances,main housing cost payment method,How do you usually pay your housing costs?,"[""Bank transfer"", ""Cash""]",How do you usually pay your housing costs?,"[""Automatic bank transfer"", ""Manual bank transfer"", ""Card payment"", ""Cash"", ""Payment by another household member"", ""No housing cost payment"", ""Other"", ""Prefer not to say""]","[""Add missing payment arrangements and residual categories.""]",borderline,categorical_closed_ended,candidate-v1-single-incomplete-options-009,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-136,True,incomplete_options,media/culture,primary language for media use,In which language do you consume most news media?,"[""German"", ""English""]",In which language do you consume most news media?,"[""German"", ""English"", ""Turkish"", ""Arabic"", ""Russian"", ""Another language"", ""I do not consume news media"", ""Prefer not to say""]","[""Include additional languages and non-use/nonresponse categories.""]",obvious,categorical_closed_ended,candidate-v1-single-incomplete-options-006,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-137,True,non_exclusive_options,finances,monthly personal income range,What was your personal net income last month?,"[""0-1000 euros"", ""1000-2000 euros"", ""2000-3000 euros"", ""3000 euros or more""]",What was your personal net income last month?,"[""Less than 1,000 euros"", ""1,000-1,999 euros"", ""2,000-2,999 euros"", ""3,000 euros or more"", ""Prefer not to say""]","[""Remove overlapping endpoints between adjacent ranges.""]",realistic,numeric_ranges,candidate-v1-single-non-exclusive-options-009,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-138,True,non_exclusive_options,health,minutes of physical activity per week,How many minutes of moderate physical activity did you do last week?,"[""0-30 minutes"", ""30-60 minutes"", ""60-120 minutes"", ""120 minutes or more""]",How many minutes of moderate physical activity did you do last week?,"[""0-29 minutes"", ""30-59 minutes"", ""60-119 minutes"", ""120 minutes or more"", ""Not sure""]","[""Make numeric ranges mutually exclusive.""]",borderline,numeric_ranges,candidate-v1-single-non-exclusive-options-008,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-139,True,non_exclusive_options,education,number of missed classes,How many classes did you miss in the last 4 weeks?,"[""0"", ""1-2"", ""2-4"", ""4 or more""]",How many classes did you miss in the last 4 weeks?,"[""0"", ""1-2"", ""3-4"", ""5 or more"", ""Not applicable""]","[""Avoid overlapping values such as 2 and 4 in multiple categories.""]",obvious,numeric_ranges,candidate-v1-single-non-exclusive-options-002,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-140,True,non_exclusive_options,work,organization size,How many people work at your organization?,"[""1-10"", ""10-50"", ""50-250"", ""250 or more""]",How many people work at your organization?,"[""1-9"", ""10-49"", ""50-249"", ""250 or more"", ""Not sure"", ""Not applicable""]","[""Use non-overlapping size intervals.""]",realistic,numeric_ranges,candidate-v1-single-non-exclusive-options-001,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-141,True,non_exclusive_options,family/household,weekly childcare hours,How many hours did you spend on childcare last week?,"[""0 hours"", ""0-5 hours"", ""5-10 hours"", ""10 or more hours""]",How many hours did you spend on childcare last week?,"[""0 hours"", ""1-4 hours"", ""5-9 hours"", ""10 or more hours"", ""Not applicable"", ""Prefer not to say""]","[""Make the zero and boundary values exclusive to one category.""]",borderline,numeric_ranges,candidate-v1-single-non-exclusive-options-005,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-142,True,non_exclusive_options,mobility,one-way commute time,How long is your usual one-way commute?,"[""Less than 15 minutes"", ""15-30 minutes"", ""30-60 minutes"", ""60 minutes or more""]",How long is your usual one-way commute?,"[""Less than 15 minutes"", ""15-29 minutes"", ""30-59 minutes"", ""60 minutes or more"", ""I do not commute""]","[""Remove overlaps at 30 and 60 minutes.""]",obvious,numeric_ranges,candidate-v1-single-non-exclusive-options-003,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-143,True,non_exclusive_options,technology,daily screen time,How much non-work screen time did you have yesterday?,"[""0-1 hour"", ""1-3 hours"", ""3-5 hours"", ""5 or more hours""]",How much non-work screen time did you have yesterday?,"[""Less than 1 hour"", ""1-2 hours"", ""3-4 hours"", ""5 or more hours"", ""Not sure""]","[""Use clear, non-overlapping intervals.""]",realistic,numeric_ranges,candidate-v1-single-non-exclusive-options-010,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-144,True,non_exclusive_options,university life,credits taken this semester,How many credits are you taking this semester?,"[""0-15"", ""15-30"", ""30-45"", ""45 or more""]",How many credits are you taking this semester?,"[""0-14"", ""15-29"", ""30-44"", ""45 or more"", ""Not applicable""]","[""Ensure each credit value belongs to exactly one category.""]",borderline,numeric_ranges,candidate-v1-single-non-exclusive-options-007,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-145,True,missing_scale_labels,health,pain level today,How much pain are you experiencing today?,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10""]",How much pain are you experiencing today?,"[""0 = no pain"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10 = worst pain imaginable""]","[""Label at least the endpoints of the numeric scale.""]",obvious,numeric_ranges,candidate-v1-single-missing-scale-labels-003,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-146,True,missing_scale_labels,technology,confidence in identifying phishing messages,How confident are you that you can identify phishing messages?,"[""1"", ""2"", ""3"", ""4"", ""5""]",How confident are you that you can identify phishing messages?,"[""1 = not at all confident"", ""2"", ""3"", ""4"", ""5 = very confident""]","[""Provide endpoint labels so scale direction is clear.""]",realistic,numeric_ranges,candidate-v1-single-missing-scale-labels-008,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-147,True,missing_scale_labels,environment,concern about local flooding,"On the 1-to-5 scale, rate your concern about local flooding.","[""1"", ""2"", ""3"", ""4"", ""5""]",How concerned are you about local flooding?,"[""1 = not at all concerned"", ""2"", ""3"", ""4"", ""5 = extremely concerned""]","[""Add labels that define the meaning of numeric points.""]",borderline,numeric_ranges,candidate-v1-single-missing-scale-labels-009,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-148,True,missing_scale_labels,work,control over daily tasks,How much control do you have over the order of your daily tasks?,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5""]",How much control do you have over the order of your daily tasks?,"[""0 = no control"", ""1"", ""2"", ""3"", ""4"", ""5 = complete control"", ""Not applicable""]","[""Label the endpoints and include not-applicable where relevant.""]",obvious,numeric_ranges,candidate-v1-single-missing-scale-labels-005,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-149,True,missing_scale_labels,education,difficulty of course materials,How difficult are the course materials this semester?,"[""1"", ""2"", ""3"", ""4"", ""5""]",How difficult are the course materials this semester?,"[""1 = very easy"", ""2"", ""3 = neither easy nor difficult"", ""4"", ""5 = very difficult""]","[""Add interpretive labels for the scale direction and midpoint.""]",realistic,numeric_ranges,candidate-v1-single-missing-scale-labels-004,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-150,True,missing_scale_labels,public services,ease of using online booking system,How easy was it to use the online booking system?,"[""1"", ""2"", ""3"", ""4"", ""5""]",How easy was it to use the online booking system?,"[""1 = very difficult"", ""2"", ""3 = neither easy nor difficult"", ""4"", ""5 = very easy""]","[""Label the scale so respondents know which end is easy.""]",borderline,numeric_ranges,candidate-v1-single-missing-scale-labels-001,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-151,True,missing_scale_labels,media/culture,trust in social media event information,"On the numbered scale, rate your trust in event information shared on social media.","[""0"", ""1"", ""2"", ""3"", ""4""]",How much do you trust event information shared on social media?,"[""0 = do not trust at all"", ""1"", ""2 = trust somewhat"", ""3"", ""4 = trust completely""]","[""Provide anchors for numeric response points.""]",obvious,numeric_ranges,candidate-v1-single-missing-scale-labels-011,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-152,True,missing_scale_labels,family/household,stress from household responsibilities,How stressful are your household responsibilities at the moment?,"[""1"", ""2"", ""3"", ""4"", ""5""]",How stressful are your household responsibilities at the moment?,"[""1 = not at all stressful"", ""2"", ""3"", ""4"", ""5 = extremely stressful"", ""Not applicable""]","[""Add endpoint labels and not-applicable option.""]",realistic,numeric_ranges,candidate-v1-single-missing-scale-labels-010,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-153,True,too_many_scale_points,politics/public policy,support for participatory budgeting,"Using the 0-to-20 scale, indicate your support or opposition to participatory budgeting in your municipality.","[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20""]",To what extent do you support or oppose participatory budgeting in your municipality?,"[""Strongly oppose"", ""Somewhat oppose"", ""Neither support nor oppose"", ""Somewhat support"", ""Strongly support""]","[""Use fewer response categories because the requested precision is not justified.""]",borderline,numeric_ranges,candidate-v1-single-too-many-scale-points-001,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-154,True,too_many_scale_points,public services,satisfaction with pharmacy opening hours,"On a 0-to-100 scale, rate your satisfaction with pharmacy opening hours in your area.","[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""35"", ""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43"", ""44"", ""45"", ""46"", ""47"", ""48"", ""49"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58"", ""59"", ""60"", ""61"", ""62"", ""63"", ""64"", ""65"", ""66"", ""67"", ""68"", ""69"", ""70"", ""71"", ""72"", ""73"", ""74"", ""75"", ""76"", ""77"", ""78"", ""79"", ""80"", ""81"", ""82"", ""83"", ""84"", ""85"", ""86"", ""87"", ""88"", ""89"", ""90"", ""91"", ""92"", ""93"", ""94"", ""95"", ""96"", ""97"", ""98"", ""99"", ""100""]",How satisfied or dissatisfied are you with pharmacy opening hours in your area?,"[""Very dissatisfied"", ""Somewhat dissatisfied"", ""Neither satisfied nor dissatisfied"", ""Somewhat satisfied"", ""Very satisfied""]","[""Replace the 101-point scale with a manageable labeled scale.""]",obvious,numeric_ranges,candidate-v1-single-too-many-scale-points-003,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-155,True,too_many_scale_points,environment,concern about microplastics in waterways,Rate your concern about microplastics in local waterways on a 0-to-30 scale.,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30""]",How concerned are you about microplastics in local waterways?,"[""Not at all concerned"", ""Slightly concerned"", ""Moderately concerned"", ""Very concerned"", ""Extremely concerned""]","[""Use a simpler concern scale.""]",realistic,numeric_ranges,candidate-v1-single-too-many-scale-points-013,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-156,True,too_many_scale_points,education,importance of digital literacy classes,How important are digital literacy classes in secondary schools?,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15""]",How important or unimportant are digital literacy classes in secondary schools?,"[""Very unimportant"", ""Somewhat unimportant"", ""Neither important nor unimportant"", ""Somewhat important"", ""Very important""]","[""Use a smaller, interpretable importance scale.""]",borderline,numeric_ranges,candidate-v1-single-too-many-scale-points-005,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-157,True,too_many_scale_points,mobility,satisfaction with bicycle parking,Choose a number from 0 to 25 to show your satisfaction with bicycle parking near train stations.,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25""]",How satisfied or dissatisfied are you with bicycle parking near train stations?,"[""Very dissatisfied"", ""Somewhat dissatisfied"", ""Neither satisfied nor dissatisfied"", ""Somewhat satisfied"", ""Very satisfied""]","[""Avoid an overly fine-grained scale for a general satisfaction judgment.""]",obvious,numeric_ranges,candidate-v1-single-too-many-scale-points-015,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-158,True,too_many_scale_points,labor,perceived fairness of shift allocation,How fair is the allocation of shifts in your workplace?,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""35"", ""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43"", ""44"", ""45"", ""46"", ""47"", ""48"", ""49"", ""50""]",How fair or unfair is the allocation of shifts in your workplace?,"[""Very unfair"", ""Somewhat unfair"", ""Neither fair nor unfair"", ""Somewhat fair"", ""Very fair"", ""Not applicable""]","[""Use a concise fair-unfair scale rather than 51 points.""]",realistic,numeric_ranges,candidate-v1-single-too-many-scale-points-007,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-159,True,too_many_scale_points,technology,trust in cloud storage providers,Use the 0-to-20 scale to show your trust in cloud storage providers to protect your files.,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20""]",How much do you trust or distrust cloud storage providers to protect your files?,"[""Strongly distrust"", ""Somewhat distrust"", ""Neither trust nor distrust"", ""Somewhat trust"", ""Strongly trust""]","[""Replace the high-resolution numeric scale with a labeled trust scale.""]",borderline,numeric_ranges,candidate-v1-single-too-many-scale-points-011,final_gold_200_unique_v3_pure_loaded,,
